mode,task_type,num_workers,num_tasks,elapsed_time_sec,throughput_tasks_per_sec,average_latency_sec_per_task
push,no_op,1,5,3.3759422302246094,1.4810679979163441,0.6751884460449219
push,no_op,2,10,3.7419660091400146,2.6723919927584316,0.3741966009140015
push,no_op,4,20,4.389120101928711,4.556721970586177,0.21945600509643554
push,no_op,8,40,5.640351295471191,7.09175686133543,0.14100878238677977
