mode,task_type,num_workers,num_tasks,elapsed_time_sec,throughput_tasks_per_sec,average_latency_sec_per_task
push,fibonacci,1,5,4.3585920333862305,1.1471594408700494,0.8717184066772461
push,fibonacci,2,10,2.6408629417419434,3.7866410414331786,0.2640862941741943
push,fibonacci,4,20,5.261013984680176,3.801548533845197,0.2630506992340088
push,fibonacci,8,40,6.524922132492065,6.130341356996821,0.16312305331230165
